fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,quality
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
11.2,0.28,0.56,1.9,0.075,6
7.4,0.7,0.0,1.9,0.076,5
6.7,0.58,0.08,1.8,0.097,5
10.3,0.32,0.45,2.4,0.065,6
7.4,0.7,0.0,1.9,0.076,5
7.8,0.88,0.0,2.6,0.098,5
